PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,DINtoDIP,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata   ,Dinoflagellata ,Cryptophytes,picophytoplankton,Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum ,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp. ,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Anureopsis fissa,Ascomorpha saltans,Asplanchna priodonta,Brachionus angularis,Brachionus calyciflorus calyciflorus,Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus spinosus,Brachionus calyciflorus f.anureiformis,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Polyarthra vulgaris,Polyarthra platyptera,Pompholyx sp.,Synchaeta sp.,Trichocerca pusilla,Trichocerca similis,Years
3.6,10.62,16.9,117.5,41,8.9,141,0.106,0.015,0.554,0.309,5.154531168,0.002,2.517,6.48,9.54,2.5,3.5,2.951219512,0.37,2.11,0.78,0.78,0.34,0.03,0,1.46,0,0,0,0,0.6437,0.3418,0,0,0.0202,0.0235,0,0,0,0.0183,0,0.0486,0,0,0,0,0.5139,0.0259,0,0,0.0271,0,0,0,0.0024,0,1
3.2,10.74,16.9,126.25,31.2,5.8,172.6,0.01,0.019,0.728,0.667,6.79389313,0.032,2.9,7.4081,10.7319,3,2.7,0.929487179,0.35,4.71,0.59,0.93,1.26,0,0,1.54,0,0,0,0,0.4817,0,0,0,0.0274,0.0067,0,0,0,0.0149,0,0.0076,0,0,0,0,0.7671,0.0082,0,0,0,0,0,0,0.0008,0,1
2.4,10.69,16.8,132.5,23,12.3,135.5,0.035,0.02,0.71,0.841,9.402810304,0.026,2.766,7.714,12.236,5,2.9,2.391304348,1.63,4.69,0.37,0.88,0.55,0,0,1.61,0,0,0,0,0,0,0,0.0778,0.0241,0,0,0,0,0,0.1763,0.1076,0.0134,0,0,0,1.541,0.0101,0.0028,0,0,0,0.0047,0,0,0,1
2.2,11.33,17.2,108.75,19.8,3.5,123.4,0.01,0.026,0.704,0.416,7.880027267,0.131,2.958,8.142,9.9356,5,3.3,1.818181818,1.4,4.05,0.14,2.74,0.7,0,0,3.68,0,0,0,0,0,0,0,0.0852,0,0.0005,0,0,0,0,0.0012,0,0,0,0,0,0.048,0.0008,0,0,0,0,0.0174,0,0,0,1
1.4,9.79,16.5,142.5,28.7,6.5,251.1,0.019,0.026,0.743,1.129,6.695773664,0.059,2.748,7.965,13.865,6,2,1.567944251,2.06,4.49,0.06,5.33,0.07,0,0,2.09,0.0092,0,0,0,0,0,0,0.0091,0.0008,0,0,0,0,0,0,0.0117,0.001,0,0.0008,0,0.0272,0.0087,0.0112,0,0,0,0.006,0,0,0,1
3.3,10.71,17.1,102.5,21.7,1.8,134.6,0.02,0.024,0.365,0.706,7.052498419,0.053,2.512,6.8912,9.4282,4.5,3.4,2.02764977,1.38,4.41,0.28,1.81,0.17,0.1,0,3.86,0,0,0,0,0,0.0246,0,0.0374,0.007,0.0006,0,0,0,0,0.0025,0,0.0002,0,0,0,0.0357,0.0009,0,0,0,0,0.0252,0,0,0,1
1.9,9.94,16.3,128.75,14.9,1.4,166.8,0.014,0.027,0.659,0.573,6.952484981,0.054,2.826,7.5874,12.39,6,3,2.751677852,2.96,2.77,0.31,4.05,0.02,0,0,3.02,0,0,0,0,0.0258,0,0,0.0185,0,0.0004,0,0,0,0,0.0016,0,0,0,0,0,0.0535,0.0001,0.0005,0,0,0,0,0,0,0,1
3.1,10.1,16.8,161.25,16.6,13.8,178.6,0.023,0.027,0.502,1.141,8.100478469,0.056,2.671,7.2098,12.0006,4,3.4,3.012048193,1.41,3.18,0.43,5.84,0.29,0.47,0,3.16,0,0,0,0,0,0,0,0.0243,0.0041,0.0005,0,0,0,0,0,0,0,0,0,0,0.0572,0.0009,0.0005,0.0003,0,0,0,0,0,0,1
3.5,10.16,16.3,143.75,21.9,9.4,152.8,0.026,0.027,0.473,0.866,7.561108093,0.038,2.752,7.08,11.2218,3.5,3.2,2.420091324,1.07,2.8,0.07,2.2,0.09,0,0.09,4.19,0,0,0,0,0,0.0167,0.0283,0.0089,0.0054,0.0017,0,0,0,0,0,0,0,0,0,0,0.0119,0.0003,0,0,0,0,0.0002,0,0,0,1
3.3,9.99,16.4,123.75,33.3,11.3,111.3,0.048,0.026,0.652,0.541,8.12700449,0.053,2.568,6.903,11.0448,5,3.4,2.222222222,1.6,4.27,0.28,2.17,0.78,0.31,0,3.98,0,0,0,0,0,0,0,0.0135,0.0045,0.001,0,0,0,0,0.0006,0,0,0,0,0,0.0092,0.0007,0.0012,0,0,0,0.0012,0,0,0,1
2.8,10.12,16,166.25,22,25.5,171.1,0.032,0.029,0.57,0.402,4.725526075,0.033,2.85,7.08,12.803,6,3,2.772727273,1.69,1.98,0.35,1.65,0.04,0.03,0.003,2.82,0,0,0,0,0,0.0502,0,0.0192,0.0108,0,0,0,0,0,0,0.002,0.001,0,0,0,0.0477,0.0002,0.0003,0,0,0,0,0,0,0,1
2.3,10.18,15.8,170,21.1,8.9,143.3,0.066,0.032,0.522,0.86,8.540103866,0.056,2.752,7.375,14.1954,7,3.3,4.644549763,2.72,7.26,0.1,3.78,0.06,0.49,0,3.99,0,0,0,0,0,0,0,0.0128,0.0072,0.0008,0,0,0,0,0.005,0,0,0,0,0,0.0533,0.0049,0.0036,0.0004,0,0,0.0156,0,0,0,1
1.6,10.11,16.1,217.5,22.8,11.9,89,0.029,0.027,0.651,0.176,7.138237672,0.016,2.81,8.024,16.402,7.5,2,2.456140351,2.85,4.73,0.15,5.24,0.36,0,0,4.63,0,0,0,0,0,0,0,0.0072,0.0007,0,0,0,0,0,0.0034,0,0,0,0,0,0.029,0.0013,0.0018,0,0,0,0.0023,0,0,0,1
3.2,9.04,20.1,90,5.1,8.2,199.6,0.013,0.06,0.561,0.986,7.6092062,0.02,2.517,8.064,9.136,6,3.7,14.31372549,1.46,1.19,0.005,1.49,0,0,0,1.02,0,0,0,0,3.251,1.0553,1.5059,0,0.0085,0.0452,0,0,0,0,0.1142,0.4465,0,0.3692,0,0.3624,0.0553,3.6975,0.0032,0.167,0,0,0,0.1177,0,0.0049,1
3.3,9.66,20.3,58.8,9.2,12.5,146.7,0.016,0.039,0.577,0.435,6.336104513,0.022,2.452,8.1,6.38,4,3.7,5.97826087,1.7,3.11,0.08,1.08,0.08,0.06,0,0.56,0,0,0,0,0.8124,1.2404,3.9186,0,0.0178,0.2058,0,0,0,0,0,0.2025,0,0.1016,0,0.1035,0.098,2.5408,0.0081,0.026,0,0,0,0.0497,0,0.0035,1
3.7,10,20.4,71.3,10.9,1.5,209.1,0.053,0.07,0.613,0.777,6.830699774,0.02,2.286,8.268,9.005,3.5,3.5,11.28440367,2.47,5.35,2.39,1.39,0.14,0.07,0,1.39,0,0,0,0,1.63,1.1804,2.2372,0,0.0554,0.1552,0,0,0,0,0,0.096,0,0.0252,0,0.1035,0.1173,5.3111,0.0062,0.0068,0,0,0,0,0,0.0028,1
3.4,9.68,20.5,81.3,7,23.7,179.2,0.025,0.04,0.616,0.402,5.159599809,0.027,2.438,8.064,7.4955,3,2.9,9.285714286,1.45,3.64,0.05,1.56,0.16,0.06,0,0.58,0,0,0,0,5.4105,0,0,0,0.2925,0.0825,0,0,0,0,0,0.5516,0,0.1041,0,0.1035,0.1441,0.384,0.041,0.0483,0,0,0,0,0,0.0034,1
1.8,10.35,20.2,65,18.2,12.4,157.9,0.014,0.057,0.578,0.614,6.700265252,0.019,2.854,8.592,7.853,6,2.9,3.901098901,2.26,4.36,0.1,1.35,0.74,0,0,1.16,0,0,0,0,1.8619,0,0,3.5759,0.3153,0.0597,0,0,0,0,0,0.03,0,0,0,0,0.0276,0.3029,0.0431,0,0.2477,0,0,0,0.0132,0.0049,1
3.3,9.68,20.4,70,13,9,158.9,0.024,0.034,0.67,0.614,7.418463239,0.017,2.487,7.93,7.23,5,3.3,4.461538462,5.92,4.67,0.36,3.56,0.69,0.01,0.01,5.27,0,0,0,0,0,0.0566,0,0.0258,0.0491,0.0052,0.0301,0,0,0,0.0057,0.0132,0,0,0.0096,0.0026,0.0205,0.0282,0.0092,0.0017,0,0,0,0,0,0,1
3.2,9.31,19.7,193.8,4,34.2,207.2,0.015,0.05,0.649,1.201,7.803585982,0.017,2.472,8.346,8.422,8,1.8,16.25,7.78,4.22,0,10.36,1.2,0.12,0.2,5.49,0,0,0,0,0,0.0219,0,0,0.0249,0.008,0,0,0,0,0,0.0032,0,0,0,0.0166,0.0173,0.0134,0.005,0,0,0,0,0,0,0,1
3.6,9.54,20.4,93.8,8.2,6.2,191.7,0.013,0.065,0.51,0.883,7.137311984,0.023,2.229,7.891,9.133,5,3.6,9.512195122,4.48,3.2,0.003,3.43,0.2,0.26,0.18,4.8,0,0,0,0,0.0119,0.0027,0,0,0.0443,0.0156,0,0,0,0,0.0076,0.0266,0,0,0.0179,0.0119,0.0247,0.0245,0.0082,0.0014,0,0,0,0,0,0,1
3.3,9.35,20.1,102.5,7,63.8,87.9,0.012,0.047,0.539,1.158,11.06490233,0.014,2.65,7.592,9.4704,6,3.3,8.428571429,5.98,3.55,0.12,3.29,0.5,0.07,0.47,4.8,0,0,0,0,0.0146,0.0534,0,0.0516,0.0003,0.0836,0,0,0,0,0,0.0091,0,0,0,0,0.0205,0.0344,0.0031,0,0,0,0,0,0,0,1
3.2,9.14,20.2,127.5,9.7,83.6,88.7,0.02,0.129,0.564,0.962,9.203296703,0.019,2.429,7.8,7.816,7,3.5,15.36082474,12.22,2.05,0.03,2.57,0.7,0.13,0.04,4.8,0,0,0,0,0,0.0331,0.0443,0,0.0174,0.0037,0,0,0,0,0,0.0014,0,0,0,0.0014,0.0146,0.0222,0.0075,0,0,0,0,0,0,0,1
3.3,9.15,20.1,101.3,11.1,18.4,263.6,0.024,0.056,0.69,1.199,6.717843739,0.025,2.319,7.982,8.082,7,3.5,7.207207207,13.34,2.82,0.2,1.26,0.08,0,0.01,4.8,0,0,0,0,0,0.0438,0.0046,0,0.006,0.0013,0,0,0,0,0,0.0044,0.0041,0,0,0.0033,0.0227,0.0251,0.0051,0,0,0,0,0,0,0,1
3.7,8.84,20.2,112.5,2.2,57.8,154.5,0.016,0.06,0.525,0.95,7.230769231,0.017,2.19,8.125,7.939,7.5,3.2,34.54545455,3.3,2.64,0.13,3.29,0.93,0,0,3.05,0,0,0,0,0,0.0418,0,0,0.0137,0.0057,0,0,0,0,0,0.0069,0,0,0.0077,0,0.0195,0.0146,0.0072,0.0006,0,0,0,0,0,0,1
3.7,8.63,19.8,125,6.8,4.6,195.3,0.013,0.072,0.456,1.41,9.438800194,0.02,2.163,8.58,7.292,7,3.5,12.5,2.99,1.45,0,2.7,0.55,0,0,2.24,0,0,0,0,0,0.0126,0,0,0.0075,0.0029,0,0,0,0,0,0.0047,0,0,0,0.0048,0.0269,0.0189,0.0082,0,0,0,0,0,0,0,1
3.5,9.15,19.4,170,3.3,69.1,194.5,0.02,0.049,0.488,1.341,7.111277632,0.015,2.317,8.073,10.927,7,2.2,20.90909091,2.21,1.76,0.26,2.74,0.83,0.02,0.04,2.99,0,0,0,0,0,0.0145,0,0,0.0611,0.0114,0.0034,0,0,0,0,0,0,0,0,0,0.0277,0.0228,0.0086,0,0,0,0,0,0,0,1
3.7,9.15,20.6,61.25,16.5,35.6,92.4,0.026,0.019,0.512,0.96,10.4982699,0.008,2.691,8.532,7.908,6,3.5,2.727272727,3.24,4.12,0.45,0.34,0.02,0,0,1.33,0,0,1.2371,0,0,0.7336,2.6244,0,0.0087,0.0975,0,0,0,0,0,0.0058,0,0,0,0,0.3792,1.7303,0.0868,0,0,0.0227,0,0,0,0,1
3.5,9.03,20.1,67.5,9.2,33.1,116,0.027,0.015,0.643,0.783,9.27353127,0.014,2.656,8.28,9.984,8.5,3.9,4.565217391,1.24,4.94,0.06,0.96,0.02,0.05,0,1.9,0,0,0.1832,0,0,0.3396,1.8333,0,0.0043,0.0239,0,0,0,0,0,0.0067,0,0,0,0,0.0977,1.0316,0.0574,0,0,0,0,0,0,0,1
3.1,9.36,20.3,80,1.6,17.6,135.3,0.019,0.018,0.757,0.967,11.39805825,0.015,2.904,8.28,7.98,9,3,23.125,3.12,3.73,0.11,1.4,0.52,0.11,0,1.78,0,0,0.1832,0,1.7027,0.572,5.6501,0,0.0156,0.0426,0,0,0,0,0,0.0366,0,0,0,0,0.1947,1.1116,0.0533,0,0,0,0,0,0.0028,0,1
2.3,9.3,19.8,80,41.8,59.6,128.3,0.011,0.023,0.77,1.147,8.493687418,0.019,3.349,9.6,9.636,5,2.4,0.813397129,6.07,3.4,0,0.46,0.86,0.06,0,1.21,0,0,0.4529,0,1.2388,0,0.05,0.5128,0.0138,0.0006,0,0,0,0,0,0.0896,0.0407,0.0203,0,0,0.1645,0.129,0.0158,0.0152,0,0.0415,0,0,0.0014,0,1
2.5,8.49,20,103.75,4.4,41.2,174.3,0.018,0.023,0.85,1.229,9.640745794,0.01,2.675,9.144,9.696,10,2,9.318181818,9.74,6.76,0,3.95,0.48,0.32,0,5.26,0,0,0.0894,0,0,0,0.2316,0.0372,0.0166,0.0006,0,0.4287,0,0,0,0.0127,0,0,0,0,0.035,0.0797,0.0032,0,0,0,0,0.01,0,0,1
3.2,8.5,20.1,71.25,11.7,14.1,146.7,0.013,0.029,0.652,0.869,9.060869565,0.023,2.887,7.692,9.732,6.5,1.7,3.58974359,3.23,1.9,0.05,2,0.41,0.03,0,2.23,0,0,0,0,0,0,0.5045,0.0377,0.0237,0.0005,0.0404,0,0,0,0.0053,0.0094,0,0,0,0,0.0634,0.0326,0.013,0.0004,0,0,0,0,0,0,1
3.3,9.94,20.3,88.75,6.5,43.7,80.2,0.011,0.027,0.756,0.771,12.00153374,0.016,2.748,7.56,9.552,9,3.4,5.846153846,4.42,1.79,0,1.27,0.15,0.22,0,2.52,0,0,0.0005,0,0,0,0,0,0,0,0.0405,0.0168,0,0,0,0.0001,0,0,0,0,0.0195,0.0026,0.0077,0,0,0,0,0,0,0,1
3.6,9.34,20.4,70,14.6,10.6,112.8,0.018,0.009,0.547,0.796,9.927536232,0.017,2.731,7.5,10.188,11,2.9,1.849315068,5.91,2.38,0.02,2.23,0.23,0.16,0,3.65,0,0,0,0,0,0,0,0,0.0095,0.0005,0.0338,0,0,0,0,0,0,0,0,0,0.0327,0.0012,0.0237,0,0,0,0,0,0,0,1
3.2,9.63,20.3,66.25,10.5,20.7,144.8,0.019,0.024,0.588,0.78,8.017045455,0.008,2.866,7.572,7.752,6.5,3,4.095238095,5.49,2.17,0.21,0.96,0.17,0.12,0,5.87,0,0,0.0787,0,0,0,0.167,0.0143,0.0181,0.0019,0,0,0,0,0,0,0,0,0,0,0.0365,0.022,0.0075,0,0,0,0,0,0,0,1
3.8,8.91,20.5,76.25,5.5,15.4,148,0.014,0.021,0.541,0.895,8.709295441,0.006,2.65,7.584,8.508,6,3.5,6.363636364,5.12,1.9,0.36,1.35,0.29,0.11,0,3.07,0,0,0.0138,0,0,0,0.062,0,0.0026,0.0002,0.0464,0,0,0,0.0037,0,0,0,0,0,0.0328,0.0173,0.0069,0,0,0,0,0,0,0,1
3.4,8.98,20.3,76.25,14.4,13.2,134,0.017,0.038,0.526,0.807,8.589108911,0.022,2.913,7.62,10.356,10,3.1,3.819444444,4.98,2.37,0.16,0.8,0.33,0.34,0,2.7,0,0,0,0,0,0,0.004,0.014,0.0035,0,0.0155,0,0,0,0,0,0,0,0,0,0.022,0.0188,0.0109,0,0,0,0,0,0,0,1
3.7,8.42,20.5,92.5,8.2,12.1,165.8,0.024,0.024,0.553,0.996,8.581407845,0.011,2.926,7.764,11.376,10,2.8,5.853658537,4.71,1.49,0,1.2,0.27,0.05,0,3.57,0,0,0,0,0,0,0.0211,0.0085,0.0013,0.0005,0.0203,0,0,0,0,0,0,0,0,0,0.0341,0.0198,0.0134,0,0,0,0,0,0,0,1
3.2,8.47,20.1,92.5,1.4,20.8,181.7,0.026,0.032,0.682,0.848,7.788131437,0.018,2.777,8.004,9.36,7,2.9,41.42857143,6.53,2.27,0.12,1.58,0.35,0.04,0.05,3.71,0,0,0,0,0,0.0084,0,0.0316,0.0034,0.0021,0.0569,0,0,0,0,0.0017,0,0,0,0,0.0309,0.022,0.0195,0,0,0,0,0,0,0,1
3.1,8.49,19.8,82.5,8.9,9.3,222.8,0.021,0.038,0.562,1.103,7.153526971,0.016,2.814,8.136,8.52,6,2.2,6.629213483,5.42,2.28,0.28,2.3,0.68,0,0,4.91,0,0,0.0352,0,0,0.0416,0.0755,0,0.0053,0.0009,0.0318,0,0,0,0,0,0,0,0,0,0.0325,0.0142,0.0091,0,0,0,0,0,0,0,1
4.4,9.96,16.2,98.75,23.3,7,136.7,0.058,0.015,0.248,1.107,8.550898204,0.022,2.796,7.8,10.608,7.7,3.4,3.13304721,3.79,3.5,0.88,1.37,0.43,0.1,0.54,3.44,0,0,0.0368,0,1.0435,0,2.1925,0,0.0035,0.045,0,0,0,0,0.0457,0.0379,0,0.0485,0,0,0.0949,0.1486,0.0022,0.0065,0,0,0.003,0.0017,0,0.0001,1
4.3,9.86,16.4,95,24.2,12.5,170.4,0.06,0.02,0.276,1.268,7.841622405,0.037,2.788,7.332,9.789,7.3,3.4,3.305785124,6.73,3.47,0.45,1.96,0.13,0.19,0.89,3.63,0,0,0.0343,0,0.541,0,3.1215,0,0.0053,0.0971,0,0,0,0,0.075,0.097,0,0.0784,0,0,0.107,0.2314,0.0083,0.0072,0,0,0.0039,0.0045,0.0005,0.0012,1
4.3,9.79,16.4,113.75,18.1,5.2,150,0.048,0.018,0.519,1.037,9.35949221,0.036,2.838,7.41,12.298,6.7,3.2,3.64640884,6.27,1.76,0.12,0.49,0.31,0.11,0.02,3.51,0.0734,0,0.0476,0,0.5052,0,2.6966,0,0.0094,0.0831,0,0,0.0002,0,0.053,0.0576,0,0.0329,0,0,0.1651,0.141,0.001,0.0049,0,0.0007,0.006,0.0045,0.0003,0.001,1
3.9,9.8,16.4,112.5,26.1,4.6,143.4,0.037,0.029,0.706,0.933,9.793222286,0.091,2.935,8.099,10.322,7.6,2.6,2.528735632,4.74,0.62,0.49,1.65,0.79,0,0.23,3.36,0.1653,0,0,0,0.1243,0,0,0.8835,0.0512,0,0,0,0,0,0.1325,0.1083,0.0306,0.2261,0,0.0388,0.055,0.0569,0.0016,0.0066,0,0,0.0033,0.0241,0.0002,0.0001,1
3.3,9.82,16.1,93.75,21.7,36.8,125,0.035,0.026,0.877,0.971,10.40326975,0.065,3.192,8.619,12.051,8.2,2.4,2.811059908,4.25,2.49,0.17,1.67,0.52,0,0.02,3.41,0.0256,0,0,0.0009,0.0584,0,0,0.5989,0.0549,0,0,0,0.0001,0,0.0833,0.0809,0.0038,0.1058,0,0.0324,0.2819,0.0941,0.0016,0.0242,0,0,0.0067,0.0318,0.0004,0.0009,1
3.1,10.58,16.1,103.75,50.2,19.2,136.1,0.032,0.029,0.835,0.982,9.138686131,0.012,3.256,8.2215,10.875,11,1.8,1.215139442,6.09,3.54,0.63,5.18,0.79,0.04,0.4,6.01,0,0,0,0,0,0,0.017,0.0187,0,0.0014,0,0,0,0,0.0007,0.0031,0.0127,0,0,0,0.0127,0.0188,0.0033,0.0018,0,0,0,0,0,0,1
4.2,9.9,16.3,111.25,14.3,5.6,141.1,0.033,0.05,0.698,1.143,11.95031056,0.024,2.72,7.25,11.832,7.9,3.3,5.804195804,6.71,2.04,0.62,1.47,0.22,0.2,0.24,6.26,0,0,0.0112,0,0,0.069,0.0252,0.0225,0.0065,0,0,0,0,0,0,0.0055,0,0,0,0,0.0098,0.0087,0.0097,0,0,0,0,0,0,0,1
3.7,9.86,16.2,112.5,9.7,21.4,186.3,0.04,0.052,0.838,0.626,7.157313707,0.04,2.953,7.6705,13.63,7,3.1,9.484536082,8.28,2.84,0.31,1.67,0.41,0.03,0.31,5.4,0,0,0,0,0,0.0308,0,0.0235,0.0054,0,0.025,0,0,0,0,0.0097,0,0,0,0,0.008,0.0216,0.0044,0,0,0,0,0,0,0,1
4.5,9.93,16.3,117.5,23.9,30.3,191.5,0.033,0.029,0.406,1.181,6.711436711,0.05,2.904,7.018,13.0645,8.5,3.2,2.594142259,5.67,2.31,0.48,1.48,0.23,0.05,0.42,3.94,0,0,0.0379,0,0,0.027,0,0.0283,0.0036,0.0008,0,0,0,0,0.0063,0,0,0,0.0006,0,0.0191,0.0106,0.0034,0,0,0,0,0,0,0,1
4.6,10.02,16.2,115,31.4,32.4,37.8,0.024,0.024,0.549,0.476,10.56102362,0.031,2.665,7.0905,11.4115,10.2,3.3,1.52866242,5.85,1.53,0.12,1.24,0.19,0.04,0,3.96,0,0,0,0,0,0.0216,0,0.0267,0.0164,0.0021,0,0,0,0,0.0089,0.0024,0,0,0.0102,0.0028,0.0617,0.0143,0.0011,0,0,0,0,0,0,0,1
4.5,9.93,16.3,113.75,7.1,20.6,223.2,0.021,0.032,0.482,0.812,5.368672778,0.019,2.967,7.0615,11.7595,9.5,3.4,7.464788732,4.11,0.75,0.36,1.49,0.07,0,0.06,2.46,0,0,0,0,0,0.0158,0.0104,0.0159,0.0042,0.0006,0,0,0,0,0.0055,0.0017,0.0109,0,0.0051,0,0.0364,0.0113,0.0004,0.0008,0,0,0,0,0,0,1
4.2,10.3,16,102.5,19.5,58.8,97.1,0.027,0.048,0.572,0.38,5.855188141,0.038,2.875,7.105,12.441,10.5,3.3,3.846153846,4.94,0.87,0.08,1.52,0.26,0,0.01,4.08,0,0,0,0,0,0.0181,0.0301,0.0669,0.0034,0,0,0,0,0,0.0179,0.0066,0.0516,0,0.0118,0.0017,0.0467,0.0173,0.001,0,0,0,0,0,0,0,1
4.1,10.1,16,120,14.9,9,235.6,0.034,0.028,0.682,0.688,5.518304432,0.071,2.862,7.2065,13.05,11.5,2.2,4.161073826,6.38,2.29,0.39,2.47,0.74,0.31,0.06,5.32,0,0,0,0,0,0.0142,0.0193,0.0344,0.0189,0.0011,0,0,0,0,0,0.0086,0.0163,0,0.0032,0,0.0373,0.0141,0.0012,0,0,0,0,0,0,0,1
